common_name,year,total_checklists,checklists_with_species,prop_checklists
American Crow,2010,26,3,0.11538461538461539
American Crow,2011,120,12,0.1
American Crow,2012,73,13,0.1780821917808219
American Crow,2013,78,16,0.20512820512820512
American Crow,2014,233,43,0.18454935622317598
American Crow,2015,376,92,0.24468085106382978
American Crow,2016,384,99,0.2578125
American Crow,2017,486,159,0.3271604938271605
American Crow,2018,528,142,0.2689393939393939
American Crow,2019,592,156,0.2635135135135135
American Crow,2020,403,88,0.21836228287841192
American Crow,2021,450,112,0.24888888888888888
American Crow,2022,637,176,0.27629513343799056
American Crow,2023,771,234,0.3035019455252918
American Crow,2024,823,227,0.275820170109356
American Crow,2025,834,234,0.2805755395683453
Bald Eagle,2010,26,2,0.07692307692307693
Bald Eagle,2011,120,3,0.025
Bald Eagle,2012,73,9,0.1232876712328767
Bald Eagle,2013,78,8,0.10256410256410256
Bald Eagle,2014,233,6,0.02575107296137339
Bald Eagle,2015,376,17,0.04521276595744681
Bald Eagle,2016,384,20,0.052083333333333336
Bald Eagle,2017,486,11,0.02263374485596708
Bald Eagle,2018,528,28,0.05303030303030303
Bald Eagle,2019,592,44,0.07432432432432433
Bald Eagle,2020,403,27,0.06699751861042183
Bald Eagle,2021,450,37,0.08222222222222222
Bald Eagle,2022,637,57,0.08948194662480377
Bald Eagle,2023,771,53,0.06874189364461739
Bald Eagle,2024,823,51,0.061968408262454436
Bald Eagle,2025,834,64,0.07673860911270983
Black-capped Chickadee,2010,26,3,0.11538461538461539
Black-capped Chickadee,2011,120,12,0.1
Black-capped Chickadee,2012,73,11,0.1506849315068493
Black-capped Chickadee,2013,78,14,0.1794871794871795
Black-capped Chickadee,2014,233,51,0.21888412017167383
Black-capped Chickadee,2015,376,64,0.1702127659574468
Black-capped Chickadee,2016,384,81,0.2109375
Black-capped Chickadee,2017,486,109,0.2242798353909465
Black-capped Chickadee,2018,528,83,0.1571969696969697
Black-capped Chickadee,2019,592,113,0.19087837837837837
Black-capped Chickadee,2020,403,48,0.11910669975186104
Black-capped Chickadee,2021,450,53,0.11777777777777777
Black-capped Chickadee,2022,637,96,0.15070643642072212
Black-capped Chickadee,2023,771,101,0.1309987029831388
Black-capped Chickadee,2024,823,142,0.17253948967193194
Black-capped Chickadee,2025,834,124,0.1486810551558753
Black-chinned Hummingbird,2010,26,0,0
Black-chinned Hummingbird,2011,120,0,0
Black-chinned Hummingbird,2012,73,0,0
Black-chinned Hummingbird,2013,78,0,0
Black-chinned Hummingbird,2014,233,0,0
Black-chinned Hummingbird,2015,376,3,0.007978723404255319
Black-chinned Hummingbird,2016,384,2,0.005208333333333333
Black-chinned Hummingbird,2017,486,0,0
Black-chinned Hummingbird,2018,528,3,0.005681818181818182
Black-chinned Hummingbird,2019,592,0,0
Black-chinned Hummingbird,2020,403,1,0.0024813895781637717
Black-chinned Hummingbird,2021,450,1,0.0022222222222222222
Black-chinned Hummingbird,2022,637,2,0.0031397174254317113
Black-chinned Hummingbird,2023,771,4,0.005188067444876783
Black-chinned Hummingbird,2024,823,9,0.010935601458080195
Black-chinned Hummingbird,2025,834,3,0.0035971223021582736
Common Loon,2010,26,1,0.038461538461538464
